producer_cpu,consumer_cpu,producer_socket,consumer_socket,producer_core,consumer_core,producer_smt,consumer_smt,width,round,pinned,throughput_mps
0,1,-1,-1,-1,-1,-1,-1,0,0,0,176.955
0,1,-1,-1,-1,-1,-1,-1,1,0,0,274.284
0,1,-1,-1,-1,-1,-1,-1,2,0,0,447.718
0,1,-1,-1,-1,-1,-1,-1,3,0,0,278.476
0,1,-1,-1,-1,-1,-1,-1,4,0,0,260.949
0,1,-1,-1,-1,-1,-1,-1,5,0,0,363.709
0,1,-1,-1,-1,-1,-1,-1,6,0,0,375.579
0,1,-1,-1,-1,-1,-1,-1,7,0,0,403.611
0,1,-1,-1,-1,-1,-1,-1,8,0,0,621.214
0,1,-1,-1,-1,-1,-1,-1,9,0,0,634.313
0,1,-1,-1,-1,-1,-1,-1,10,0,0,764.431
0,1,-1,-1,-1,-1,-1,-1,11,0,0,701.753
0,1,-1,-1,-1,-1,-1,-1,12,0,0,1018.27
0,1,-1,-1,-1,-1,-1,-1,13,0,0,906.709
0,1,-1,-1,-1,-1,-1,-1,14,0,0,1052.57
0,1,-1,-1,-1,-1,-1,-1,15,0,0,873.674
0,1,-1,-1,-1,-1,-1,-1,16,0,0,1151.23
1,0,-1,-1,-1,-1,-1,-1,0,0,0,320.199
1,0,-1,-1,-1,-1,-1,-1,1,0,0,444.98
1,0,-1,-1,-1,-1,-1,-1,2,0,0,477.535
1,0,-1,-1,-1,-1,-1,-1,3,0,0,479.016
1,0,-1,-1,-1,-1,-1,-1,4,0,0,585.455
1,0,-1,-1,-1,-1,-1,-1,5,0,0,605.541
1,0,-1,-1,-1,-1,-1,-1,6,0,0,672.252
1,0,-1,-1,-1,-1,-1,-1,7,0,0,688.275
1,0,-1,-1,-1,-1,-1,-1,8,0,0,960.569
1,0,-1,-1,-1,-1,-1,-1,9,0,0,936
1,0,-1,-1,-1,-1,-1,-1,10,0,0,1202.15
1,0,-1,-1,-1,-1,-1,-1,11,0,0,841.28
1,0,-1,-1,-1,-1,-1,-1,12,0,0,1252.55
1,0,-1,-1,-1,-1,-1,-1,13,0,0,1182.64
1,0,-1,-1,-1,-1,-1,-1,14,0,0,1152.2
1,0,-1,-1,-1,-1,-1,-1,15,0,0,1086.47
1,0,-1,-1,-1,-1,-1,-1,16,0,0,1266.86
